,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
355,Gigmoto,13.7796,124.39,28.11,76,100,1.25,PH,1619230259
356,Anuradhapura,8.3565,80.4173,26.32,80,3,1.65,LK,1619230259
357,Holland,42.7875,-86.1089,11.0,43,1,3.6,US,1619230199
358,Batangafo,7.3008,18.2833,21.52,91,100,1.34,CF,1619230260
359,Matagami,49.7502,-77.6328,11.0,40,1,3.09,CA,1619229965
360,Baiyin,36.5583,104.2081,5.0,93,90,4.0,CN,1619230260
361,Stavern,59.0,10.0333,1.67,59,4,4.64,NO,1619230261
362,Ambon City,-3.6954,128.1814,26.0,89,40,4.63,ID,1619230261
363,Lobito,-12.3481,13.5456,26.79,86,96,1.65,AO,1619230262
364,Nizwá,22.9333,57.5333,24.28,26,0,0.49,OM,1619230009
365,Kudahuvadhoo,2.6708,72.8944,28.49,65,36,4.3,MV,1619230262
366,Nakamura,32.9833,132.9333,18.99,59,100,3.87,JP,1619230263
367,Panzhihua,26.5851,101.7128,26.74,24,83,0.53,CN,1619230263
368,Colares,38.7992,-9.4469,16.67,92,9,6.63,PT,1619230263
369,Ballsh,40.5989,19.7347,10.56,94,100,2.54,AL,1619230264
370,Oodweyne,9.4092,45.064,22.02,58,98,1.7,SO,1619230071
371,Launceston,-41.45,147.1667,17.0,55,100,8.23,AU,1619230264
372,Baykit,61.67,96.37,2.21,82,91,0.41,RU,1619230115
373,Brawley,32.9787,-115.5303,29.0,18,1,3.6,US,1619230265
374,Shirokaya Rechka,56.7986,60.4852,5.0,93,90,3.0,RU,1619230265
375,Tāybād,34.74,60.7756,16.63,14,3,4.59,IR,1619230266
376,Cabra,37.4725,-4.4421,13.89,72,51,1.4,ES,1619230266
377,Dunedin,-45.8742,170.5036,13.33,83,100,2.24,NZ,1619230066
378,Ténenkou,14.4572,-4.9169,32.72,13,7,3.04,ML,1619230267
379,Lohja,60.2486,24.0653,1.11,99,100,2.24,FI,1619230267
380,Kashary,49.04,41.0056,10.23,72,100,6.25,RU,1619230268
381,Mount Gambier,-37.8333,140.7667,15.0,88,75,4.63,AU,1619230185
382,Pacific Grove,36.6177,-121.9166,12.78,87,44,3.11,US,1619230268
383,Reyes,-14.3167,-67.3833,22.53,96,51,1.18,BO,1619230269
384,Manicoré,-5.8092,-61.3003,23.58,94,75,0.65,BR,1619230269
385,Roebourne,-20.7833,117.1333,30.09,19,0,7.3,AU,1619230269
386,Tromsø,69.6496,18.957,-1.67,93,75,1.54,NO,1619230270
387,Rundu,-17.9333,19.7667,13.56,49,0,2.18,NA,1619230271
388,Monte Carmelo,-18.7247,-47.4986,16.52,48,0,2.28,BR,1619230271
389,Takoradze,4.8845,-1.7554,27.39,83,100,3.25,GH,1619230271
390,Piaçabuçu,-10.4056,-36.4344,25.46,83,23,3.14,BR,1619230272
391,Parker,32.7668,-97.8003,18.89,94,98,6.26,US,1619230272
392,Maningrida,-12.0667,134.2667,30.18,36,100,6.92,AU,1619230272
393,Voi,-3.3945,38.563,21.34,90,8,2.22,KE,1619230273
394,Russell,32.3502,-85.1999,18.0,77,75,2.51,US,1619230273
395,Ascension,30.2169,-90.9001,21.0,83,90,4.63,US,1619230274
396,Boa Vista,2.8197,-60.6733,27.0,74,75,5.66,BR,1619230274
397,Rio Grande,-32.035,-52.0986,17.22,93,2,6.17,BR,1619230275
398,Winslow,35.0242,-110.6974,21.0,18,1,10.29,US,1619230030
399,Sakété,6.7362,2.6587,25.7,89,100,2.63,BJ,1619229978
400,Ures,29.4333,-110.4,25.56,28,0,1.79,MX,1619230275
401,Nemuro,43.3236,145.575,17.0,36,0,6.17,JP,1619230122
402,Dalvik,65.9702,-18.5286,5.0,81,0,0.51,IS,1619230276
403,Tamsweg,47.1281,13.811,-0.56,74,3,0.8,AT,1619230276
404,Sitka,57.0531,-135.33,15.0,23,20,4.63,US,1619230213
405,Antofagasta,-23.65,-70.4,16.0,82,40,3.09,CL,1619230277
406,Mbuji-Mayi,-6.15,23.6,20.83,96,100,1.03,CD,1619230277
407,Barcelos,41.5388,-8.6151,16.0,88,75,4.12,PT,1619230239
408,Lishu,43.3047,124.3278,14.36,45,25,7.36,CN,1619230278
409,Sibolga,1.7427,98.7792,27.06,77,99,0.53,ID,1619230278
410,Sokolo,14.7328,-6.1219,32.54,21,39,2.71,ML,1619230279
411,Bradford,53.7939,-1.7521,6.67,10,100,0.7,GB,1619230279
412,Calama,-22.4667,-68.9333,11.0,58,0,1.54,CL,1619230279
413,Bāfq,31.6128,55.4107,24.41,23,80,3.29,IR,1619230280
414,Acopiara,-6.0953,-39.4525,21.65,81,24,1.43,BR,1619230280
415,Trogir,43.5125,16.2517,12.0,40,0,4.12,HR,1619230078
416,Salina,38.8403,-97.6114,11.11,87,90,4.12,US,1619230032
417,Harpanahalli,14.8,75.9833,25.28,62,5,3.5,IN,1619230281
418,San Patricio,28.017,-97.5169,26.0,89,40,7.72,US,1619230281
419,Asbestovskiy,57.7557,61.3967,6.24,93,100,3.41,RU,1619230282
420,Bluefields,12.0137,-83.7635,24.43,85,31,2.82,NI,1619230282
421,Trairi,-3.2778,-39.2689,24.38,92,71,2.79,BR,1619230073
422,Tuatapere,-46.1333,167.6833,9.44,89,72,0.45,NZ,1619230283
423,Bitkine,11.9801,18.2138,30.06,35,38,3.04,TD,1619230283
424,Rørvik,64.8621,11.2373,3.15,64,100,9.93,NO,1619230028
425,Puerto Escondido,15.85,-97.0667,28.0,78,40,1.69,MX,1619230284
426,Road Town,18.4167,-64.6167,26.11,78,20,2.06,VG,1619230284
427,São José da Coroa Grande,-8.8978,-35.1478,25.74,80,16,3.19,BR,1619230284
428,Meulaboh,4.1363,96.1285,26.54,80,100,1.63,ID,1619230167
429,Narsaq,60.9167,-46.05,4.0,65,0,1.03,GL,1619230285
430,Aleksandrov Gay,50.147,48.5704,6.2,92,4,1.91,RU,1619230285
431,Bangassou,4.7413,22.8184,19.61,98,100,1.85,CF,1619230029
432,Sisimiut,66.9395,-53.6735,-0.12,70,100,1.48,GL,1619230286
433,Klyuchi,52.2667,79.1667,3.65,62,3,2.98,RU,1619230287
434,Lanigan,51.8501,-105.0344,4.0,19,100,4.63,CA,1619230287
435,Kyabé,9.4515,18.9449,25.13,69,99,3.96,TD,1619230287
436,Nouadhibou,20.931,-17.0347,18.0,88,0,8.23,MR,1619230288
437,Moyale,3.5167,39.0584,19.44,80,17,1.8,KE,1619230288
438,Frutal,-20.0247,-48.9406,18.08,48,0,1.34,BR,1619230288
439,Stendal,52.6,11.85,2.22,83,94,0.45,DE,1619230289
440,Kalur Kot,32.1564,71.2594,22.06,41,0,2.25,PK,1619230289
441,Whitehorse,60.7161,-135.0538,9.0,23,1,3.09,CA,1619230026
442,Lüderitz,-26.6481,15.1594,17.51,74,4,3.38,NA,1619230045
443,Isangel,-19.55,169.2667,30.0,70,75,2.57,VU,1619230290
444,Ruidoso,33.3317,-105.673,11.0,24,1,4.12,US,1619230282
445,Buala,-8.145,159.5921,29.63,66,39,2.31,SB,1619230291
446,Evanston,42.0411,-87.6901,13.33,54,75,3.09,US,1619230269
447,Ongandjera,-17.8833,15.0667,21.47,31,91,0.6,NA,1619230291
448,Plettenberg Bay,-34.0527,23.3716,15.56,87,81,2.0,ZA,1619230292
449,Raja,8.4596,25.678,24.86,53,70,2.77,SS,1619230212
450,Porbandar,21.6422,69.6093,27.21,79,100,3.87,IN,1619230292
451,Promyshlennyy,67.5833,63.9167,-0.48,93,100,3.88,RU,1619230293
452,Vila Velha,-20.3297,-40.2925,24.0,78,75,2.06,BR,1619230293
453,Sarakhs,36.5449,61.1577,19.0,59,62,3.09,IR,1619230293
454,Afşin,38.2477,36.914,11.74,32,39,1.44,TR,1619230294
455,Vila Franca do Campo,37.7167,-25.4333,14.0,72,40,5.14,PT,1619230081
456,Cayenne,4.9333,-52.3333,25.56,100,90,1.03,GF,1619230149
457,Baracoa,20.3467,-74.4958,24.69,85,29,3.75,CU,1619230295
458,Makakilo City,21.3469,-158.0858,28.0,51,75,5.14,US,1619230083
459,Ambilobe,-13.2,49.05,21.34,86,73,1.41,MG,1619230295
460,Taksimo,56.3444,114.8794,3.25,49,3,1.54,RU,1619230296
461,Rieti,42.4072,12.8592,8.33,80,0,9.26,IT,1619230296
462,Williams Lake,52.1415,-122.1445,10.0,20,40,3.6,CA,1619230059
463,Krasnoshchekovo,51.6708,82.7289,1.69,72,100,1.93,RU,1619230296
464,Muroto-misakicho,33.2833,134.15,20.0,60,75,4.12,JP,1619230297
465,Nuuk,64.1835,-51.7216,-1.0,100,75,3.09,GL,1619230297
466,Guánica,17.9716,-66.908,25.56,80,8,3.25,PR,1619230298
467,Kon Tum,14.35,108.0,28.67,64,39,0.92,VN,1619230298
468,Sur,22.5667,59.5289,29.3,33,0,2.95,OM,1619230298
469,Bandarbeyla,9.4942,50.8122,27.99,74,80,1.97,SO,1619230075
470,Portland,45.5234,-122.6762,16.0,41,90,2.57,US,1619229469
471,Port Hedland,-20.3167,118.5667,33.0,15,0,8.75,AU,1619230287
472,Khakhea,-24.6895,23.494,15.32,37,0,1.02,BW,1619230300
473,Puerto Madero,14.7208,-92.4215,29.0,79,75,2.38,MX,1619230233
474,Bonga,7.2833,36.2333,14.92,98,96,0.73,ET,1619230300
475,Taltal,-25.4,-70.4833,16.68,82,2,1.33,CL,1619230087
476,Mathathane,-22.2687,28.7495,16.43,48,0,1.6,BW,1619230301
477,Comodoro Rivadavia,-45.8667,-67.5,8.0,81,0,2.06,AR,1619230301
478,Svetlaya,46.5389,138.3297,4.04,85,100,5.0,RU,1619230302
479,Raudeberg,61.9875,5.1352,1.11,89,71,5.46,NO,1619230129
480,Iralaya,15.0,-83.2333,26.14,78,7,5.09,HN,1619230302
481,Acapulco de Juárez,16.8634,-99.8901,27.0,78,40,2.06,MX,1619230134
482,Lloydminster,53.2835,-110.0016,2.0,32,75,4.63,CA,1619230303
483,Creel,27.75,-107.6333,6.07,22,0,2.97,MX,1619230303
484,Gemena,3.25,19.7667,20.68,99,100,0.99,CD,1619230303
485,Chara,56.9064,118.2631,0.09,76,20,2.32,RU,1619230304
486,Sheboygan,43.7333,-87.9334,8.89,61,1,2.57,US,1619230304
487,Westport,41.1415,-73.3579,12.0,47,1,3.6,US,1619230305
488,Shagonar,51.5333,92.8,1.97,74,99,0.95,RU,1619230305
489,Cockburn Town,21.4612,-71.1419,25.65,79,3,7.97,TC,1619230306
490,Āwash,8.9833,40.1667,22.38,65,53,1.5,ET,1619230306
491,Camapuã,-19.5314,-54.0439,21.25,38,0,2.53,BR,1619230307
492,Naryan-Mar,67.6713,53.087,0.06,87,57,0.88,RU,1619230307
493,Novozaimka,56.4857,66.9241,5.53,51,100,5.02,RU,1619230308
494,Baicheng,45.6167,122.8167,11.37,18,97,6.76,CN,1619230308
495,Outjo,-20.1167,16.15,16.57,32,45,3.53,NA,1619230308
496,Korla,41.7597,86.1469,8.39,44,14,2.89,CN,1619230309
497,Río Cuarto,-33.1307,-64.3499,14.44,95,100,2.24,AR,1619230309
498,Vostok,46.4856,135.8833,2.01,97,100,1.48,RU,1619230309
499,Tautira,-17.7333,-149.15,28.0,74,40,3.6,PF,1619230310
500,Wana,32.2989,69.5725,16.07,40,0,0.62,PK,1619230310
501,Malé,4.1748,73.5089,29.0,79,75,5.14,MV,1619230022
502,Gannan,47.9147,123.5031,10.17,14,100,3.99,CN,1619230311
503,Øksfjord,70.2396,22.3479,0.0,64,90,4.63,NO,1619230311
504,Salinópolis,-0.6136,-47.3561,25.79,87,100,3.52,BR,1619230312
505,Broken Hill,-31.95,141.4333,18.0,45,84,2.57,AU,1619230312
506,Tura,25.5198,90.2201,29.43,25,1,2.29,IN,1619230219
507,Gravelbourg,49.8834,-106.5512,2.0,20,100,2.06,CA,1619230312
508,Uíge,-7.6087,15.0613,19.69,94,100,1.33,AO,1619230313
509,Vanavara,60.34,102.2797,2.14,79,100,0.39,RU,1619230313
510,Ocosingo,17.0667,-92.25,18.63,70,100,1.84,MX,1619230314
511,Ritchie,-29.038,24.6028,9.0,61,0,2.06,ZA,1619230314
512,Saint Anthony,45.0205,-93.218,8.33,81,90,1.54,US,1619230314
513,Merauke,-8.4667,140.3333,29.11,74,42,1.66,ID,1619230315
514,Constitución,-35.3333,-72.4167,12.78,79,0,4.51,CL,1619230315
515,Taoudenni,22.6783,-3.9836,30.35,7,0,3.76,ML,1619230316
516,Paamiut,61.994,-49.6678,0.06,77,2,2.02,GL,1619230165
517,Hastings,50.8552,0.5729,8.0,87,71,5.66,GB,1619230316
518,Namatanai,-3.6667,152.4333,28.01,72,93,2.33,PG,1619230317
519,Matamoros,25.5333,-103.25,32.0,4,20,6.17,MX,1619230317
520,Provincia di Cagliari,39.245,9.0912,12.78,93,0,2.57,IT,1619230317
521,Bilma,18.6853,12.9164,29.42,11,0,4.05,NE,1619230318
522,Pozo Colorado,-23.4923,-58.7972,21.18,82,100,2.49,PY,1619230318
523,Marystown,47.1666,-55.1483,2.68,86,86,8.8,CA,1619230318
524,Jōetsu,37.1483,138.2364,21.11,33,100,1.82,JP,1619230319
525,Marawi,7.9986,124.2928,28.89,77,100,2.24,PH,1619230319
526,Puerto Colombia,10.9878,-74.9547,27.0,78,0,7.2,CO,1619230320
527,Ponot,8.452,123.0222,29.04,69,70,3.88,PH,1619230320
528,Coahuayana Viejo,18.7333,-103.6833,23.3,70,18,0.67,MX,1619230320
529,Kaliua,-5.0606,31.7936,16.75,95,11,1.17,TZ,1619230321
530,Río Gallegos,-51.6226,-69.2181,10.0,71,90,2.06,AR,1619230321
531,Manta,-0.95,-80.7333,24.0,83,20,1.54,EC,1619230321
532,Oruzgan,32.8333,66.0,16.11,16,1,2.69,AF,1619230322
533,Nicoya,10.1483,-85.452,27.0,57,75,5.14,CR,1619230322
534,Yar-Sale,66.8333,70.8333,-0.12,99,97,4.16,RU,1619230323
535,Kundiawa,-6.0167,144.9667,20.28,89,99,0.45,PG,1619230323
536,Buchanan,5.8808,-10.0467,26.59,85,81,3.22,LR,1619230323
537,Voyvozh,62.892,54.9635,3.05,89,16,2.2,RU,1619230324
538,Mocuba,-16.8392,36.9856,18.21,97,3,0.47,MZ,1619230324
539,Tawang Town,27.5833,91.8667,11.98,44,14,1.35,IN,1619230324
540,Mahon,39.8885,4.2658,12.0,87,20,2.06,ES,1619230177
541,Vyshchetarasivka,47.5685,34.881,5.0,93,35,3.0,UA,1619230325
542,Casino,-28.8667,153.05,22.0,53,0,1.54,AU,1619230326
543,Cedar City,37.6775,-113.0619,17.0,9,1,3.6,US,1619230326
544,Grindavik,63.8424,-22.4338,8.0,93,75,5.14,IS,1619230290
545,Alofi,-19.0595,-169.9187,30.0,70,32,4.12,NU,1619230327
546,Kahului,20.8947,-156.47,27.0,57,20,9.26,US,1619230306
547,Whyalla,-33.0333,137.5833,19.0,59,46,3.6,AU,1619230327
548,Andenes,69.3143,16.1194,1.67,60,75,6.69,NO,1619230043
549,St. George's,12.0564,-61.7485,27.0,78,20,7.2,GD,1619230328
550,Kupang,-10.1667,123.5833,29.25,64,2,3.05,ID,1619230328
551,Pedro Juan Caballero,-22.5472,-55.7333,19.86,47,39,2.58,PY,1619230329
552,Weinan,34.5036,109.5089,14.44,94,90,8.0,CN,1619230329
553,Tokmak,47.2514,35.7058,7.21,87,100,5.4,UA,1619230330
554,Turtas,58.9417,69.1325,6.49,57,100,3.05,RU,1619230330
555,Mwense,-10.3845,28.698,17.79,87,23,1.35,ZM,1619230330
556,Kandrian,-6.2167,149.55,28.15,77,75,0.74,PG,1619230331
557,Saint Augustine,29.8947,-81.3145,20.0,77,1,6.17,US,1619230252
558,Dhemāji,27.4833,94.5833,26.0,57,20,2.06,IN,1619230331
559,Salta,-24.7859,-65.4117,18.0,88,40,2.06,AR,1619230156
560,Morant Bay,17.8815,-76.4093,27.0,78,40,1.03,JM,1619230332
561,Sidi Ali,36.0998,0.4206,14.44,69,83,3.66,DZ,1619230331
562,Shaunavon,49.6501,-108.4181,2.0,32,76,3.6,CA,1619230332
563,Atar,20.5169,-13.0499,25.28,15,0,2.95,MR,1619230333
564,Methven,-43.6333,171.65,16.67,27,100,6.26,NZ,1619230333
